# BLASTN 2.14.0+
# Query: BC022545|BC022545.1 Homo sapiens enolase 1, (alpha), mRNA (cDNA clone MGC:26814 IMAGE:4799584), complete cds.
# Database: Homo_sapiens.GRCh38.dna.toplevel.fa
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 18 hits found
BC022545|BC022545.1	1	92.233	1545	113	3	49	1587	236483098	236484641	0.0	2182
BC022545|BC022545.1	1	100.000	430	0	0	1350	1779	8861431	8861002	0.0	795
BC022545|BC022545.1	1	99.563	229	0	1	557	784	8866506	8866278	4.28e-112	416
BC022545|BC022545.1	1	100.000	206	0	0	980	1185	8864094	8863889	1.56e-101	381
BC022545|BC022545.1	1	99.038	208	0	2	782	987	8865484	8865277	9.40e-99	372
BC022545|BC022545.1	1	100.000	135	0	0	427	561	8867250	8867116	4.60e-62	250
BC022545|BC022545.1	1	97.479	119	2	1	1184	1302	8863343	8863226	1.31e-47	202
BC022545|BC022545.1	1	100.000	107	0	0	1	107	8878686	8878580	1.69e-46	198
BC022545|BC022545.1	1	100.000	100	0	0	200	299	8871988	8871889	1.31e-42	185
BC022545|BC022545.1	1	100.000	98	0	0	106	203	8874919	8874822	1.70e-41	182
BC022545|BC022545.1	1	97.436	78	2	0	355	432	8868059	8867982	4.83e-27	134
BC022545|BC022545.1	1	96.154	78	3	0	1571	1648	236484727	236484804	2.25e-25	128
BC022545|BC022545.1	1	100.000	61	0	0	1291	1351	8862947	8862887	6.29e-21	113
BC022545|BC022545.1	1	100.000	60	0	0	297	356	8870511	8870452	2.26e-20	111
BC022545|BC022545.1	2	74.419	645	140	15	105	743	201623442	201622817	3.55e-63	254
BC022545|BC022545.1	17	84.332	217	32	2	560	775	4955074	4955289	2.17e-50	211
BC022545|BC022545.1	17	81.250	128	24	0	429	556	4953714	4953841	3.79e-18	104
BC022545|BC022545.1	12	84.091	220	34	1	557	775	6917935	6918154	2.17e-50	211
# BLAST processed 1 queries
